"rank","freq","name","rho","regul"
"86",0.0909090909090909,"X26",0,1e-04
"100",0.0909090909090909,"X26",0,1e-04
"13",0.0909090909090909,"X90",0,1e-04
"14",0.0909090909090909,"X90",0,1e-04
"46",0.0909090909090909,"X90",0,1e-04
"58",0.0909090909090909,"X90",0,1e-04
"77",0.0909090909090909,"X90",0,1e-04
"81",0.0909090909090909,"X90",0,1e-04
"87",0.0909090909090909,"X90",0,1e-04
"91",0.0909090909090909,"X90",0,1e-04
"96",0.0909090909090909,"X90",0,1e-04
"97",0.181818181818182,"X90",0,1e-04
"9",0.0909090909090909,"X13",0,1e-04
"10",0.0909090909090909,"X13",0,1e-04
"11",0.0909090909090909,"X13",0,1e-04
"12",0.0909090909090909,"X13",0,1e-04
"14",0.0909090909090909,"X13",0,1e-04
"15",0.181818181818182,"X13",0,1e-04
"27",0.0909090909090909,"X13",0,1e-04
"30",0.0909090909090909,"X13",0,1e-04
"73",0.0909090909090909,"X13",0,1e-04
"74",0.0909090909090909,"X13",0,1e-04
"16",0.0909090909090909,"X25",0,1e-04
"20",0.181818181818182,"X25",0,1e-04
"42",0.0909090909090909,"X25",0,1e-04
"50",0.0909090909090909,"X25",0,1e-04
"56",0.0909090909090909,"X25",0,1e-04
"67",0.181818181818182,"X25",0,1e-04
"68",0.0909090909090909,"X25",0,1e-04
"83",0.0909090909090909,"X25",0,1e-04
"99",0.0909090909090909,"X25",0,1e-04
"17",0.0909090909090909,"X37",0,1e-04
"21",0.0909090909090909,"X37",0,1e-04
"24",0.0909090909090909,"X37",0,1e-04
"27",0.0909090909090909,"X37",0,1e-04
"31",0.0909090909090909,"X37",0,1e-04
"32",0.0909090909090909,"X37",0,1e-04
"36",0.0909090909090909,"X37",0,1e-04
"42",0.181818181818182,"X37",0,1e-04
"68",0.0909090909090909,"X37",0,1e-04
"71",0.0909090909090909,"X37",0,1e-04
"18",0.0909090909090909,"X22",0,1e-04
"21",0.0909090909090909,"X22",0,1e-04
"28",0.0909090909090909,"X22",0,1e-04
"30",0.0909090909090909,"X22",0,1e-04
"33",0.0909090909090909,"X22",0,1e-04
"38",0.0909090909090909,"X22",0,1e-04
"45",0.0909090909090909,"X22",0,1e-04
"48",0.0909090909090909,"X22",0,1e-04
"68",0.0909090909090909,"X22",0,1e-04
"70",0.0909090909090909,"X22",0,1e-04
"97",0.0909090909090909,"X22",0,1e-04
"19",0.0909090909090909,"X16",0,1e-04
"47",0.0909090909090909,"X16",0,1e-04
"50",0.0909090909090909,"X16",0,1e-04
"67",0.181818181818182,"X16",0,1e-04
