"rank","freq","name","rho","nclusters"
"47",0.272727272727273,"X85",0,10
"46",0.181818181818182,"X89",0,10
"47",0.727272727272727,"X89",0,10
"51",0.0909090909090909,"X89",0,10
"39",0.0909090909090909,"X13",0,10
"48",0.909090909090909,"X13",0,10
"34",0.0909090909090909,"X81",0,10
"49",0.818181818181818,"X81",0,10
"50",0.0909090909090909,"X81",0,10
"48",0.0909090909090909,"X30",0,10
"49",0.0909090909090909,"X30",0,10
"50",0.818181818181818,"X30",0,10
"50",0.0909090909090909,"X91",0,10
"51",0.909090909090909,"X91",0,10
"52",0.545454545454545,"X97",0,10
"53",0.454545454545455,"X97",0,10
"52",0.181818181818182,"X61",0,10
"53",0.545454545454545,"X61",0,10
"54",0.272727272727273,"X61",0,10
"52",0.0909090909090909,"X90",0,10
"54",0.272727272727273,"X90",0,10
"55",0.181818181818182,"X90",0,10
"56",0.272727272727273,"X90",0,10
"60",0.181818181818182,"X90",0,10
"54",0.454545454545455,"X77",0,10
"55",0.363636363636364,"X77",0,10
"56",0.181818181818182,"X77",0,10
"55",0.454545454545455,"X78",0,10
"56",0.363636363636364,"X78",0,10
"57",0.181818181818182,"X78",0,10
"57",0.636363636363636,"X20",0,10
"60",0.181818181818182,"X20",0,10
"62",0.181818181818182,"X20",0,10
"58",0.636363636363636,"X87",0,10
"64",0.0909090909090909,"X87",0,10
"66",0.0909090909090909,"X87",0,10
"67",0.0909090909090909,"X87",0,10
"69",0.0909090909090909,"X87",0,10
"57",0.181818181818182,"X82",0,10
"59",0.363636363636364,"X82",0,10
"60",0.181818181818182,"X82",0,10
"61",0.272727272727273,"X82",0,10
"59",0.454545454545455,"X45",0,10
"60",0.363636363636364,"X45",0,10
"61",0.181818181818182,"X45",0,10
"60",0.0909090909090909,"X39",0,10
"61",0.545454545454545,"X39",0,10
"62",0.0909090909090909,"X39",0,10
"63",0.272727272727273,"X39",0,10
"62",0.545454545454545,"X36",0,10
"64",0.0909090909090909,"X36",0,10
"66",0.181818181818182,"X36",0,10
"71",0.181818181818182,"X36",0,10
"63",0.545454545454545,"X73",0,10
"65",0.272727272727273,"X73",0,10
"66",0.0909090909090909,"X73",0,10
"70",0.0909090909090909,"X73",0,10
"58",0.181818181818182,"X25",0,10
"59",0.181818181818182,"X25",0,10
"63",0.0909090909090909,"X25",0,10
"64",0.454545454545455,"X25",0,10
"67",0.0909090909090909,"X25",0,10
"64",0.0909090909090909,"X18",0,10
"65",0.454545454545455,"X18",0,10
"67",0.272727272727273,"X18",0,10
"68",0.0909090909090909,"X18",0,10
"70",0.0909090909090909,"X18",0,10
"58",0.181818181818182,"X75",0,10
"64",0.0909090909090909,"X75",0,10
"65",0.0909090909090909,"X75",0,10
"66",0.454545454545455,"X75",0,10
"69",0.0909090909090909,"X75",0,10
"72",0.0909090909090909,"X75",0,10
"56",0.181818181818182,"X88",0,10
"62",0.181818181818182,"X88",0,10
"63",0.0909090909090909,"X88",0,10
"66",0.0909090909090909,"X88",0,10
"67",0.454545454545455,"X88",0,10
"64",0.0909090909090909,"X55",0,10
"68",0.272727272727273,"X55",0,10
"69",0.272727272727273,"X55",0,10
