"size","solution_terms","elpd.loo","elpd.se","elpd.diff","elpd.diff.se","rmse.loo","rmse.se","rmse.diff","rmse.diff.se","regul","rho","n"
23,"X.12",-80.476913189078,5.50832446438469,2.48736957301873,1.24278468007673,1.12161939131184,0.113142413305833,-0.0404291843940243,0.0229182345095629,0.5,0.5,50
24,"X.25",-81.2070223933794,5.63669592375034,1.75726036871737,1.39712806903147,1.13542504464613,0.114887463218368,-0.0266235310597267,0.0246880675145711,0.5,0.5,50
25,"X.85",-81.0922805557602,5.53078714660718,1.87200220633654,1.31727206831471,1.129702091257,0.112387676802392,-0.0323464844488577,0.0230684059848912,0.5,0.5,50
0,NA,-104.930965592015,5.04863142786339,-21.9666828299186,5.27019395579797,1.95722999725543,0.190501888908419,0.79518142154957,0.177602724909185,0.9999,0.5,50
1,"X.5",-87.5453058317358,4.70196011363082,-4.58102306963901,4.34011099070939,1.37465487090611,0.146812517621987,0.212606295200248,0.123603870550376,0.9999,0.5,50
2,"X.1",-86.1870109801601,5.07502860940479,-3.22272821806336,3.37118835523455,1.34381238877166,0.140347543792408,0.181763813065795,0.0971572331116713,0.9999,0.5,50
3,"X.2",-81.9486851894189,4.24233898170234,1.01559757267785,2.66815251148205,1.22791837078761,0.116321346142897,0.0658697950817535,0.0731757055290401,0.9999,0.5,50
4,"X.33",-83.1967023782218,4.30571305364817,-0.232419616125036,2.69121997265011,1.26170816607056,0.110846980474463,0.0996595903647013,0.0716615415539008,0.9999,0.5,50
5,"X.4",-79.5840757831117,4.03334866814338,3.38020697898509,2.52320018140876,1.16468208738432,0.109713480251653,0.00263351167846149,0.0692965503304944,0.9999,0.5,50
6,"X.9",-80.7331499135963,4.74553748298085,2.23113284850046,2.63439355048166,1.19881935654573,0.112097748918267,0.0367707808398681,0.0601234248834303,0.9999,0.5,50
7,"X.7",-79.9184760078942,4.84642340932404,3.04580675420255,2.60964447335341,1.1816076152189,0.113795484318254,0.0195590395130345,0.0613442460096631,0.9999,0.5,50
8,"X.29",-77.8188715893755,4.18040481339187,5.14541117272126,2.19527674775398,1.1217316248743,0.0990412097225418,-0.0403169508315564,0.049630724496959,0.9999,0.5,50
9,"X.24",-76.6132918326909,3.97374764570879,6.35099092940584,2.16647830230553,1.08967024481599,0.0940775119355566,-0.0723783308898709,0.0472944038479622,0.9999,0.5,50
10,"X.6",-77.8526812262242,4.24409856444976,5.11160153587256,1.51605568668466,1.10693395206362,0.0956373888001726,-0.0551146236422402,0.0324697510797177,0.9999,0.5,50
11,"X.93",-79.0795223060319,4.34203212129891,3.88476045606488,1.72789528587313,1.13491349967582,0.0942546191722506,-0.0271350760300384,0.0336224715011988,0.9999,0.5,50
12,"X.81",-80.5830060442756,4.52736241567378,2.38127671782118,1.65505234285142,1.16382045917064,0.0944808826595914,0.00177188346477508,0.0319461384382237,0.9999,0.5,50
13,"X.94",-80.7847309041504,4.75857347959791,2.1795518579464,1.50064114629385,1.16186466331677,0.0976912379819481,-0.000183912389094321,0.0263497401724904,0.9999,0.5,50
14,"X.41",-81.104429230087,5.03369702879164,1.85985353200976,1.35108857184999,1.16492097910704,0.101898138888577,0.00287240340117534,0.0220249003004871,0.9999,0.5,50
15,"X.38",-81.8083012677338,5.12607948415621,1.15598149436293,1.400400459081,1.17408635547617,0.102635120916469,0.0120377797703117,0.0221422835796742,0.9999,0.5,50
16,"X.68",-82.0365188951471,5.21758225258169,0.927763866949621,1.36170257613959,1.17534148871739,0.104078837317535,0.0132929130115269,0.0212902690844317,0.9999,0.5,50
17,"X.31",-81.5049672890308,5.10253868805806,1.459315473066,1.34472944438373,1.16015984968024,0.10255514286495,-0.00188872602561729,0.0207541539615441,0.9999,0.5,50
18,"X.60",-81.7345171331633,5.43991279120723,1.2297656289335,1.34695949900298,1.16007400902138,0.10811504673001,-0.0019745666844786,0.0222011683139394,0.9999,0.5,50
19,"X.10",-81.9702376697327,5.48654740504193,0.994045092364098,1.30965978005804,1.15903554602293,0.108046538052623,-0.00301302968293116,0.0186773672660827,0.9999,0.5,50
20,"X.96",-81.9691380136193,5.51592610333367,0.99514474847751,1.31348259481251,1.15625977003395,0.108555409526235,-0.00578880567190576,0.0200226361355652,0.9999,0.5,50
