"size","solution_terms","elpd","se","diff","diff.se","ref.loo.elpd","spline.elpd","spline.elpd.se","mono.spline.elpd","mono.spline.elpd.se","spline.elpd.diff","spline.elpd.diff.se","mono.spline.elpd.diff","mono.spline.elpd.diff.se","n","rho","run"
58,"X.75",-266.470901810477,6.74935776877434,-0.576153894216372,0.327796183272203,-265.620835793046,-266.739767512456,1.67539904896546,-263.511914421875,6.02136607503832,-0.531713119897004,0.106981779959866,-0.531584679671023,0.0923633413113634,200,0.9,9
59,"X.88",-266.324756120929,6.73182443956255,-0.43000820466768,0.326469091983737,-265.620835793046,-266.267496425508,1.67104673514642,-262.827369120419,6.00572390621053,-0.456001859317854,0.106548661469003,-0.478692604606585,0.0919894059457823,200,0.9,9
60,"X.68",-266.231317220007,6.72131539613653,-0.33656930374633,0.317425381231233,-265.620835793046,-266.023866533803,1.6684380660012,-262.417069615122,5.99634837749588,-0.375115786656393,0.103597094845845,-0.406785658946501,0.0894411537525555,200,0.9,9
61,"X.52",-266.210745567545,6.71941904263529,-0.315997651284095,0.317821010676624,-265.620835793046,-266.053443254306,1.6679673324942,-262.343031201347,5.9946565663592,-0.315133072942499,0.103726215148131,-0.343322003702234,0.0895526305157463,200,0.9,9
62,"X.26",-266.224101898449,6.72276343411483,-0.329353982187826,0.314251888833919,-265.620835793046,-266.224220016734,1.66879751374939,-262.473604661796,5.99764022881813,-0.261443512478628,0.102561372397936,-0.276355744060228,0.0885469567594236,200,0.9,9
63,"X.29",-266.08002635902,6.71435280417396,-0.185278442758738,0.310230026152246,-265.620835793046,-265.881679980057,1.66670973563969,-262.145232500355,5.99013677685564,-0.217506202900603,0.10124877008468,-0.215921713938921,0.0874137139258231,200,0.9,9
64,"X.65",-266.097591882025,6.72609763850004,-0.202843965763743,0.303569573375208,-265.620835793046,-266.317216314452,1.66962516625314,-262.603780392196,6.00061480297173,-0.179642314380168,0.0990750196574693,-0.165978549148726,0.085536993864617,200,0.9,9
65,"X.61",-266.012853750993,6.72256568166597,-0.118105834732403,0.29701292856453,-265.620835793046,-266.154700074684,1.66874842548409,-262.465883907737,5.99746380612317,-0.146770307739902,0.0969351487004348,-0.129611779554416,0.0836895238408336,200,0.9,9
66,"X.45",-266.026023893115,6.71684203180445,-0.131275976853802,0.302010184927069,-265.620835793046,-265.929775339144,1.66732763881621,-262.242418211323,5.99235751419403,-0.120504743490085,0.0985660870940531,-0.106441894068561,0.0850976039790037,200,0.9,9
67,"X.60",-265.951163285378,6.72081962350559,-0.0564153691175484,0.295111950917915,-265.620835793046,-266.117358962899,1.66831499992249,-262.397713402093,5.99590607933906,-0.0885980506900164,0.096314732775305,-0.0829773316427703,0.0831538841471468,200,0.9,9
68,"X.35",-265.931613279263,6.71453008444487,-0.0368653630017235,0.292799006630329,-265.620835793046,-265.918886198003,1.66675374207815,-262.152153967084,5.99029493551986,-0.0575314729151373,0.095559864630216,-0.061137090429898,0.0825021643481672,200,0.9,9
69,"X.21",-265.971421647195,6.71440829736341,-0.0766737309342345,0.291560649000221,-265.620835793046,-265.970830842674,1.6667235107632,-262.147399092657,5.99018628450063,-0.0266340933873701,0.095155705856391,-0.0360164122494984,0.0821532315225515,200,0.9,9
70,"X.48",-265.94731333985,6.71361618023552,-0.0525654235889288,0.295467777743222,-265.620835793046,-265.988792785993,1.66652688282789,-262.116472846096,5.9894796058262,0.00256614723752425,0.0964308628252306,-0.00804346682502345,0.0832541457004861,200,0.9,9
71,"X.63",-265.81660660962,6.70320603706899,0.0781413066410996,0.297050932403564,-265.620835793046,-265.610797066207,1.66394276378156,-261.710034655852,5.98019230990165,0.0289056940833539,0.0969475518904431,0.0215148635943919,0.0837002322069919,200,0.9,9
72,"X.62",-265.823268985075,6.71163408141272,0.0714789311857746,0.281763616864611,-265.620835793046,-265.965215507638,1.66603486468387,-262.039086718914,5.98771129793412,0.048368589979344,0.0919582801703168,0.0472549935827946,0.0793927154788722,200,0.9,9
73,"X.86",-265.829546829282,6.70468823594505,0.0652010869787727,0.27681884833741,-265.620835793046,-265.703578368338,1.66431069131961,-261.767903429953,5.98151463749703,0.0648220668774867,0.090344472061727,0.0694721230270353,0.0779994248718113,200,0.9,9
74,"X.83",-265.81460659876,6.70539270342731,0.0801413175008303,0.276378888109585,-265.620835793046,-265.74745649623,1.66448556190586,-261.795407613253,5.98214312049408,0.0806816881008618,0.0902008836653814,0.0883009128062111,0.0778754569955524,200,0.9,9
75,"X.54",-265.814899016379,6.70750711192496,0.079848899881692,0.268403335415127,-265.620835793046,-265.856065537367,1.66501042339749,-261.877959442405,5.98402946702255,0.0949652068196947,0.0875979283322858,0.101898222713546,0.0756281803850947,200,0.9,9
76,"X.20",-265.774819402186,6.70607430444473,0.11992851407478,0.263381974426083,-265.620835793046,-265.833854668664,1.66465475632931,-261.822019031968,5.98275120342339,0.112349996560793,0.0859591229896901,0.115557870337723,0.0742133082708166,200,0.9,9
77,"X.50",-265.766329758948,6.70764316681635,0.128418157312838,0.261586924290432,-265.620835793046,-265.935823406303,1.66504419642353,-261.883271367301,5.98415084691312,0.133853064578279,0.0853732782836532,0.131869345548771,0.0737075158399985,200,0.9,9
78,"X.92",-265.759543180995,6.70648685466387,0.135204735265722,0.256282317975783,-265.620835793046,-265.927529240135,1.66475716403512,-261.838126030357,5.9831192556113,0.155037803225695,0.0836420310803985,0.149227835819641,0.072212833508217,200,0.9,9
79,"X.80",-265.683822604775,6.69191064312063,0.210925311486307,0.255697106388164,-265.620835793046,-265.378471514958,1.66113889815062,-261.269034045318,5.97011524712695,0.1786400830544,0.0834510374676247,0.171928932101233,0.0720479380629221,200,0.9,9
80,"X.30",-265.706846545679,6.69686767546043,0.187901370582114,0.25675898404985,-265.620835793046,-265.593407369551,1.66236938667298,-261.462569063726,5.97453760957777,0.201765491034753,0.083797599045044,0.197590433774877,0.072347144014371,200,0.9,9
81,"X.18",-265.685425613931,6.69587111757494,0.209322302329757,0.252052214246124,-265.620835793046,-265.565053233526,1.66212201022758,-261.423660935443,5.97364854130652,0.21780939608843,0.0822614658099421,0.218990165542921,0.0710209144606407,200,0.9,9
82,"X.72",-265.647953208949,6.7012384563797,0.246794707312275,0.243542775072193,-265.620835793046,-265.78936169012,1.66345434948667,-261.633215350923,5.97843695420437,0.228289392200312,0.0794842676735886,0.235085340689849,0.0686232043136088,200,0.9,9
83,"X.36",-265.646741810639,6.7002239502715,0.248006105621689,0.243317883449205,-265.620835793046,-265.76906618182,1.66320251773806,-261.593606478852,5.97753187362158,0.246576247410314,0.0794108705220869,0.256623746614809,0.0685598364564094,200,0.9,9
84,"X.37",-265.647748751101,6.69739055388677,0.246999165159566,0.235757563363986,-265.620835793046,-265.690524045157,1.66249918124725,-261.482983552511,5.97500408987494,0.259251728207777,0.0769434333124492,0.267485264578119,0.0664295602052232,200,0.9,9
85,"X.82",-265.611560283089,6.69598721968753,0.283187633172343,0.229470232232296,-265.620835793046,-265.682614687444,1.66215083035768,-261.428193853145,5.97375212054264,0.274914650444103,0.074891457389634,0.275986412153994,0.0646579748699187,200,0.9,9
86,"X.44",-265.611511624452,6.69127511528964,0.283236291808658,0.230348771189174,-265.620835793046,-265.551433940414,1.66098114051499,-261.244221437544,5.96954826788946,0.299895342572584,0.0751781833070398,0.289512891889823,0.0649055213566392,200,0.9,9
87,"X.70",-265.578858895622,6.69245021693624,0.315889020639118,0.228490222615941,-265.620835793046,-265.65186048443,1.66127283703614,-261.290100363136,5.97059662203396,0.319218319234834,0.0745716148213379,0.295894059100311,0.0643818369302386,200,0.9,9
88,"X.77",-265.547665870324,6.68618613665771,0.347082045936829,0.222982434444072,-265.620835793046,-265.443748819608,1.65971789884782,-261.045534903065,5.9650081909902,0.327004630698307,0.0727740558126073,0.294000400637469,0.062829903915916,200,0.9,9
89,"X.47",-265.566362955383,6.68721482246365,0.32838496087801,0.222220226586704,-265.620835793046,-265.502829812596,1.65997325043533,-261.085697385731,5.965925921836,0.332679947205478,0.0725252964998337,0.295769476298131,0.0626151361178975,200,0.9,9
90,"X.78",-265.568925635873,6.68788200416617,0.325822280388103,0.222105283054168,-265.620835793046,-265.520629267018,1.66013886553949,-261.111745838347,5.96652114073046,0.329861911602887,0.072487782750946,0.296763449567749,0.0625827484048338,200,0.9,9
91,"X.23",-265.574238365874,6.68963221748342,0.320509550387083,0.220537637171263,-265.620835793046,-265.555148340167,1.66057332253935,-261.180078571031,5.96808257449255,0.317268998418603,0.0719761552352569,0.295007712411278,0.0621410318165175,200,0.9,9
92,"X.27",-265.575709084445,6.68948166126362,0.319038831816085,0.219717932547796,-265.620835793046,-265.493208604609,1.66053594983574,-261.174200477036,5.96794825739967,0.301918462000385,0.0717086308889254,0.294090344583321,0.0619100631177485,200,0.9,9
93,"X.25",-265.614636424607,6.69536794447531,0.280111491653772,0.219256264877907,-265.620835793046,-265.658005379684,1.66199710712398,-261.404015788266,5.9731996409021,0.287452249720597,0.0715579579049339,0.293604764991421,0.0617799787215828,200,0.9,9
94,"X.34",-265.632480697515,6.69937025393668,0.262267218745531,0.221436783234354,-265.620835793046,-265.744260174408,1.66299060394175,-261.560276022603,5.9767702577279,0.280007479008376,0.0722696066272565,0.29662347010026,0.0623943847808047,200,0.9,9
