"size","solution_terms","elpd","se","diff","diff.se","rho","n","run","diff_gam_fit","diff_se_gam_fit","diff_mono_fit","diff_se_mono_fit"
16,"X.13",-143.043175492806,4.3576949560419,-9.23963988689844,1.70084345097943,0,100,3,-9.23304561660546,0.866469316899532,-9.14859934238387,0.749618535611764
17,"X.47",-142.352901926888,4.21490428004539,-8.54936632097985,1.56464808512649,0,100,3,-8.67468844379094,0.79708662001022,-8.37054336425759,0.689592687466247
18,"X.25",-141.701168107424,4.14653936137922,-7.89763250151668,1.50013684174555,0,100,3,-8.32275835655184,0.764222329676834,-7.93436376240234,0.66116042712749
19,"X.33",-141.396822342479,4.09071661456057,-7.59328673657103,1.36649180564373,0,100,3,-7.37180141923031,0.696138860224384,-7.09403782317465,0.602258594512184
20,"X.12",-140.783735017568,3.96398196952769,-6.98019941166045,1.31645140342064,0,100,3,-6.75595310479477,0.670646523991646,-6.67177525828509,0.580204117355986
21,"X.28",-140.29862973567,3.89232088878377,-6.4950941297622,1.28282054721553,0,100,3,-6.23486546040831,0.653513786122087,-6.32779408446717,0.56538187538814
22,"X.51",-139.437344069451,3.92988503029661,-5.6338084635428,1.29317009698595,0,100,3,-6.03274871347135,0.658786209821414,-6.20627597877978,0.569943267760067
23,"X.62",-139.245188475915,3.84207261121348,-5.44165287000685,1.22456429705817,0,100,3,-5.60393909598199,0.623836008752332,-5.72831415697588,0.539706399548172
24,"X.16",-138.747129612081,3.76226477747251,-4.94359400617319,1.0599318467227,0,100,3,-4.84733750871209,0.539966463498457,-4.84991404164768,0.4671473781617
25,"X.34",-138.385020538276,3.70558399547112,-4.58148493236806,0.982204713146988,0,100,3,-4.53093017197579,0.500369535106769,-4.41991202510224,0.4328904334589
0,NA,-193.460510846761,7.27570193544389,-52.3944662036199,5.74948412474863,0,100,4,-52.4831705026593,1.21317558088526,-52.4920707015909,1.28104242311791
1,"X.3",-181.207320235062,6.46942600248073,-40.1412755919208,4.63787259135968,0,100,4,-40.437128350004,0.978618890497517,-40.588806547436,1.03336428340992
2,"X.2",-176.867368381471,6.12003668664611,-35.8013237383297,4.1945467375109,0,100,4,-34.7339112955043,0.885074480495698,-34.739167937265,0.934586860301529
