"size","solution_terms","mlpd","mlpd.se","mlpd.diff","mlpd.diff.se","elpd","elpd.se","elpd.diff","elpd.diff.se","rho","n","data"
23,"X.65",-1.4087515670467,0.0298035485703532,-0.0775466179027434,0.0114260370905316,-140.87515670467,2.98035485703532,-7.75466179027434,1.14260370905316,0,100,"train"
24,"X.37",-1.40562911394051,0.0297455513116143,-0.0744241647965558,0.010922960579076,-140.562911394051,2.97455513116143,-7.44241647965558,1.0922960579076,0,100,"train"
25,"X.55",-1.40119014088012,0.029474362666242,-0.0699851917361663,0.0104670446060114,-140.119014088012,2.9474362666242,-6.99851917361663,1.04670446060114,0,100,"train"
26,"X.19",-1.39552130066502,0.0292308709364125,-0.0643163515210589,0.0100832802886576,-139.552130066502,2.92308709364125,-6.43163515210589,1.00832802886576,0,100,"train"
27,"X.76",-1.38964552018725,0.0280534411851899,-0.0584405710432945,0.00899992114530528,-138.964552018725,2.80534411851899,-5.84405710432945,0.899992114530528,0,100,"train"
28,"X.79",-1.38550786439461,0.0271409511384568,-0.054302915250648,0.00851351757936832,-138.550786439461,2.71409511384568,-5.4302915250648,0.851351757936832,0,100,"train"
29,"X.38",-1.38218525084725,0.0266318667573509,-0.0509803017032922,0.0077141017761438,-138.218525084725,2.66318667573509,-5.09803017032922,0.77141017761438,0,100,"train"
30,"X.46",-1.3762150989951,0.0260601195594476,-0.0450101498511407,0.00712546832843068,-137.62150989951,2.60601195594476,-4.50101498511407,0.712546832843068,0,100,"train"
31,"X.35",-1.37254533651322,0.0257446567641403,-0.0413403873692666,0.0072335659730882,-137.254533651322,2.57446567641403,-4.13403873692666,0.72335659730882,0,100,"train"
32,"X.40",-1.36819946992858,0.0257188442069845,-0.0369945207846195,0.00714336932448791,-136.819946992858,2.57188442069845,-3.69945207846195,0.714336932448791,0,100,"train"
33,"X.12",-1.36474488009723,0.0245634163397143,-0.0335399309532758,0.00650311754229347,-136.474488009723,2.45634163397143,-3.35399309532758,0.650311754229347,0,100,"train"
34,"X.11",-1.3616300320703,0.0245883859018444,-0.0304250829263405,0.00628874958603869,-136.16300320703,2.45883859018444,-3.04250829263405,0.628874958603869,0,100,"train"
35,"X.94",-1.3601998424625,0.0248863773018115,-0.0289948933185426,0.00623121301375712,-136.01998424625,2.48863773018115,-2.89948933185426,0.623121301375712,0,100,"train"
36,"X.89",-1.35811991595024,0.0247556141909074,-0.0269149668062788,0.0059353999353942,-135.811991595024,2.47556141909074,-2.69149668062788,0.59353999353942,0,100,"train"
37,"X.36",-1.3576207146566,0.0250939536508316,-0.0264157655126404,0.00633647973121223,-135.76207146566,2.50939536508316,-2.64157655126404,0.633647973121223,0,100,"train"
