"size","n","rho","elpd","data"
61,200,0,-319.584910538424,"test"
62,200,0,-256.106850304803,"train"
62,200,0,-319.994570725844,"test"
63,200,0,-256.813158398372,"train"
63,200,0,-319.889235976388,"test"
64,200,0,-256.992513343103,"train"
64,200,0,-320.151180281125,"test"
65,200,0,-257.630274418344,"train"
65,200,0,-320.52395441911,"test"
66,200,0,-257.288735119631,"train"
66,200,0,-320.790057957629,"test"
67,200,0,-257.622228044767,"train"
67,200,0,-321.451562770328,"test"
68,200,0,-257.715470930718,"train"
68,200,0,-321.598016448212,"test"
69,200,0,-258.151959234472,"train"
69,200,0,-320.990003047055,"test"
70,200,0,-258.356325379619,"train"
70,200,0,-320.425673942601,"test"
71,200,0,-258.937816498956,"train"
71,200,0,-320.566226907934,"test"
72,200,0,-259.232527972428,"train"
72,200,0,-320.099049112389,"test"
73,200,0,-259.263874732741,"train"
73,200,0,-320.156679315105,"test"
74,200,0,-259.561520876861,"train"
74,200,0,-320.307063433403,"test"
75,200,0,-259.945359531874,"train"
75,200,0,-319.704815638132,"test"
76,200,0,-260.607722105069,"train"
76,200,0,-319.67234219504,"test"
77,200,0,-260.741131933296,"train"
77,200,0,-319.228828242665,"test"
78,200,0,-261.378687854482,"train"
78,200,0,-319.147935223112,"test"
79,200,0,-261.3365695059,"train"
79,200,0,-318.90873710808,"test"
80,200,0,-261.572099228905,"train"
80,200,0,-318.377635934372,"test"
81,200,0,-261.997959996599,"train"
81,200,0,-318.406145142595,"test"
82,200,0,-262.257610746002,"train"
82,200,0,-318.397587451,"test"
83,200,0,-262.717713859865,"train"
83,200,0,-318.899185841479,"test"
84,200,0,-262.827237890067,"train"
84,200,0,-318.411200060607,"test"
85,200,0,-263.172379167818,"train"
85,200,0,-318.368533910267,"test"
86,200,0,-263.217856242287,"train"
86,200,0,-318.608454621015,"test"
87,200,0,-263.478493106705,"train"
87,200,0,-318.29418074132,"test"
88,200,0,-264.277419107969,"train"
88,200,0,-318.568471930566,"test"
89,200,0,-264.321763255231,"train"
89,200,0,-317.905548864679,"test"
90,200,0,-264.975853133074,"train"
90,200,0,-318.094287755441,"test"
91,200,0,-265.302222241328,"train"
91,200,0,-318.095938696242,"test"
92,200,0,-265.358568249538,"train"
92,200,0,-317.752862831491,"test"
93,200,0,-265.942042004563,"train"
93,200,0,-317.837277227161,"test"
94,200,0,-266.464482078372,"train"
94,200,0,-317.543902309544,"test"
95,200,0,-266.493375110754,"train"
95,200,0,-317.498900888084,"test"
96,200,0,-266.858030174813,"train"
96,200,0,-317.546514452346,"test"
97,200,0,-267.307921043259,"train"
97,200,0,-317.700119165948,"test"
98,200,0,-267.574790687963,"train"
98,200,0,-317.919543547097,"test"
99,200,0,-268.165850128503,"train"
99,200,0,-317.869325910812,"test"
100,200,0,-268.233849770676,"train"
100,200,0,-318.19397414972,"test"
0,200,0.5,-401.281022300109,"train"
0,200,0.5,-395.375052199519,"test"
1,200,0.5,-354.3050434067,"train"
1,200,0.5,-351.517730573917,"test"
2,200,0.5,-337.923688242919,"train"
2,200,0.5,-336.634989511609,"test"
3,200,0.5,-322.133524057915,"train"
3,200,0.5,-322.62225031866,"test"
4,200,0.5,-312.168877987742,"train"
4,200,0.5,-309.203716190855,"test"
5,200,0.5,-303.331803052403,"train"
5,200,0.5,-303.802399169559,"test"
6,200,0.5,-296.621334076496,"train"
6,200,0.5,-310.711140152245,"test"
7,200,0.5,-291.880153428425,"train"
7,200,0.5,-306.261533403818,"test"
8,200,0.5,-288.276355647096,"train"
8,200,0.5,-305.510861696028,"test"
9,200,0.5,-284.753985554985,"train"
9,200,0.5,-300.871882876059,"test"
10,200,0.5,-280.310410156814,"train"
10,200,0.5,-304.620635268412,"test"
11,200,0.5,-278.185317892802,"train"
11,200,0.5,-305.227720446526,"test"
12,200,0.5,-275.58563800675,"train"
12,200,0.5,-307.942381494075,"test"
13,200,0.5,-273.325366182247,"train"
13,200,0.5,-309.018475681919,"test"
14,200,0.5,-272.344408536549,"train"
14,200,0.5,-303.45136069101,"test"
15,200,0.5,-270.869086185001,"train"
15,200,0.5,-302.774098745274,"test"
16,200,0.5,-269.464444217215,"train"
16,200,0.5,-302.881596182791,"test"
17,200,0.5,-268.911491788403,"train"
17,200,0.5,-302.634762957596,"test"
18,200,0.5,-268.715069069603,"train"
18,200,0.5,-300.95245553934,"test"
19,200,0.5,-268.54251315732,"train"
19,200,0.5,-299.457405553434,"test"
20,200,0.5,-268.178046686585,"train"
20,200,0.5,-299.88735580611,"test"
21,200,0.5,-267.491920419892,"train"
21,200,0.5,-299.111304067385,"test"
22,200,0.5,-265.582426336956,"train"
22,200,0.5,-297.996047778889,"test"
23,200,0.5,-264.608284296097,"train"
23,200,0.5,-298.577841318509,"test"
24,200,0.5,-263.603110137547,"train"
24,200,0.5,-301.799268508731,"test"
25,200,0.5,-262.41143014793,"train"
25,200,0.5,-301.701273839263,"test"
26,200,0.5,-261.978862087413,"train"
26,200,0.5,-301.739490250385,"test"
27,200,0.5,-260.586166136087,"train"
27,200,0.5,-304.583925145324,"test"
28,200,0.5,-260.331387307649,"train"
28,200,0.5,-303.451544071911,"test"
29,200,0.5,-260.091750284238,"train"
29,200,0.5,-302.886296021846,"test"
30,200,0.5,-259.214548194987,"train"
30,200,0.5,-305.334665019074,"test"
31,200,0.5,-258.622417648169,"train"
31,200,0.5,-306.977493920011,"test"
32,200,0.5,-258.519698867457,"train"
32,200,0.5,-307.195648264205,"test"
33,200,0.5,-257.586412785708,"train"
33,200,0.5,-307.074810755474,"test"
34,200,0.5,-257.585332847325,"train"
34,200,0.5,-306.824268032344,"test"
35,200,0.5,-257.193407517405,"train"
35,200,0.5,-305.026587327588,"test"
36,200,0.5,-256.790673676905,"train"
36,200,0.5,-305.828030054492,"test"
37,200,0.5,-256.189891646504,"train"
37,200,0.5,-306.083981312088,"test"
38,200,0.5,-255.137465759247,"train"
38,200,0.5,-306.932667887572,"test"
39,200,0.5,-254.924960520884,"train"
39,200,0.5,-306.649579125201,"test"
40,200,0.5,-255.112903329649,"train"
40,200,0.5,-306.947262677716,"test"
41,200,0.5,-254.633737026128,"train"
41,200,0.5,-307.573206602972,"test"
42,200,0.5,-254.088350990199,"train"
42,200,0.5,-307.203361375594,"test"
43,200,0.5,-254.185642152237,"train"
43,200,0.5,-307.735301244809,"test"
44,200,0.5,-253.589556710457,"train"
44,200,0.5,-307.580527101245,"test"
45,200,0.5,-253.885843111842,"train"
45,200,0.5,-307.654588698926,"test"
46,200,0.5,-253.864745866782,"train"
46,200,0.5,-307.290308323402,"test"
47,200,0.5,-253.860868711818,"train"
47,200,0.5,-307.102472500036,"test"
48,200,0.5,-253.859498902265,"train"
48,200,0.5,-307.570846867038,"test"
49,200,0.5,-254.035101420265,"train"
49,200,0.5,-306.671056914277,"test"
50,200,0.5,-253.983027219544,"train"
50,200,0.5,-306.423672930136,"test"
51,200,0.5,-254.487428467763,"train"
51,200,0.5,-305.867883730325,"test"
52,200,0.5,-254.487417922311,"train"
52,200,0.5,-304.88691390909,"test"
53,200,0.5,-254.569675610903,"train"
53,200,0.5,-304.850417663826,"test"
54,200,0.5,-254.815671063745,"train"
54,200,0.5,-304.321879452341,"test"
55,200,0.5,-254.877053971542,"train"
55,200,0.5,-304.521172850689,"test"
56,200,0.5,-254.384944743251,"train"
56,200,0.5,-304.207355948471,"test"
57,200,0.5,-254.871248968947,"train"
57,200,0.5,-304.024027928285,"test"
58,200,0.5,-255.027153839627,"train"
58,200,0.5,-303.654771609364,"test"
59,200,0.5,-255.062186027975,"train"
59,200,0.5,-303.885169207134,"test"
60,200,0.5,-255.290072326904,"train"
60,200,0.5,-304.16325569001,"test"
61,200,0.5,-255.151778971911,"train"
61,200,0.5,-303.490199280601,"test"
62,200,0.5,-255.364377165067,"train"
62,200,0.5,-303.858531009312,"test"
63,200,0.5,-255.238794536,"train"
63,200,0.5,-303.383736019128,"test"
64,200,0.5,-255.460042568672,"train"
64,200,0.5,-302.853486281525,"test"
65,200,0.5,-255.582212753959,"train"
65,200,0.5,-302.747027743547,"test"
66,200,0.5,-255.815334047717,"train"
66,200,0.5,-302.389613586162,"test"
67,200,0.5,-256.104579513233,"train"
67,200,0.5,-302.025371925942,"test"
68,200,0.5,-256.274648129716,"train"
68,200,0.5,-301.950690474242,"test"
69,200,0.5,-256.275170228874,"train"
69,200,0.5,-302.102080510258,"test"
70,200,0.5,-256.365525879015,"train"
70,200,0.5,-301.618173830721,"test"
71,200,0.5,-256.615873143762,"train"
71,200,0.5,-302.263765991547,"test"
72,200,0.5,-256.435636913889,"train"
72,200,0.5,-302.742036376112,"test"
73,200,0.5,-256.397724668621,"train"
73,200,0.5,-302.734227041208,"test"
74,200,0.5,-256.514590601167,"train"
74,200,0.5,-303.067244800435,"test"
75,200,0.5,-256.684490563583,"train"
75,200,0.5,-302.706333348835,"test"
76,200,0.5,-256.908162931307,"train"
76,200,0.5,-302.506052266377,"test"
77,200,0.5,-256.969105134354,"train"
77,200,0.5,-302.569143996841,"test"
78,200,0.5,-257.352045525777,"train"
78,200,0.5,-302.433117931374,"test"
79,200,0.5,-257.432938495779,"train"
79,200,0.5,-302.330529889857,"test"
80,200,0.5,-258.042568578251,"train"
80,200,0.5,-302.058773367158,"test"
81,200,0.5,-257.887962277026,"train"
81,200,0.5,-302.241741822737,"test"
82,200,0.5,-258.395014546045,"train"
82,200,0.5,-301.861309670353,"test"
83,200,0.5,-258.494465607287,"train"
83,200,0.5,-302.417464289069,"test"
84,200,0.5,-258.28559782589,"train"
84,200,0.5,-302.090888699587,"test"
85,200,0.5,-258.520107280973,"train"
85,200,0.5,-301.818982024325,"test"
86,200,0.5,-258.574052586567,"train"
86,200,0.5,-302.337060971304,"test"
87,200,0.5,-258.693563175155,"train"
87,200,0.5,-302.055745978402,"test"
88,200,0.5,-259.00494402382,"train"
88,200,0.5,-301.785510907015,"test"
89,200,0.5,-259.182126483106,"train"
89,200,0.5,-301.797821548755,"test"
90,200,0.5,-259.397369187449,"train"
90,200,0.5,-301.549243632575,"test"
91,200,0.5,-259.781061372753,"train"
91,200,0.5,-301.724623362168,"test"
92,200,0.5,-259.853099976955,"train"
92,200,0.5,-301.612349100943,"test"
93,200,0.5,-260.170342589055,"train"
93,200,0.5,-301.542945124809,"test"
94,200,0.5,-260.284374480138,"train"
94,200,0.5,-301.909396740157,"test"
95,200,0.5,-260.409637057276,"train"
95,200,0.5,-301.535251644318,"test"
96,200,0.5,-260.605700762253,"train"
96,200,0.5,-301.642657097697,"test"
97,200,0.5,-260.875517504777,"train"
97,200,0.5,-301.695968514594,"test"
98,200,0.5,-260.950789162321,"train"
98,200,0.5,-301.539914040403,"test"
99,200,0.5,-261.236356704756,"train"
99,200,0.5,-301.47064018474,"test"
100,200,0.5,-261.565190462139,"train"
100,200,0.5,-301.543292308103,"test"
0,200,0.9,-391.209169702841,"train"
0,200,0.9,-411.865848508667,"test"
1,200,0.9,-318.027507701904,"train"
1,200,0.9,-348.596956083168,"test"
2,200,0.9,-290.379191343001,"train"
2,200,0.9,-314.386230858184,"test"
3,200,0.9,-284.35420159556,"train"
3,200,0.9,-308.804933322063,"test"
4,200,0.9,-279.349919279945,"train"
4,200,0.9,-311.025018171019,"test"
5,200,0.9,-275.691868558644,"train"
5,200,0.9,-303.006298905584,"test"
6,200,0.9,-273.835167097944,"train"
6,200,0.9,-299.558441106994,"test"
7,200,0.9,-272.924686082799,"train"
7,200,0.9,-294.99704793944,"test"
8,200,0.9,-272.367275832149,"train"
8,200,0.9,-294.466471811883,"test"
9,200,0.9,-271.087150812065,"train"
9,200,0.9,-296.85671347474,"test"
10,200,0.9,-269.964587856897,"train"
10,200,0.9,-300.390372110805,"test"
11,200,0.9,-268.610612149695,"train"
11,200,0.9,-301.736347973035,"test"
12,200,0.9,-267.540133124081,"train"
12,200,0.9,-302.018789176792,"test"
13,200,0.9,-267.082923540834,"train"
13,200,0.9,-302.470791627322,"test"
14,200,0.9,-266.530803114002,"train"
14,200,0.9,-302.882976637633,"test"
15,200,0.9,-263.76796566553,"train"
15,200,0.9,-305.520040424428,"test"
16,200,0.9,-263.013836874208,"train"
16,200,0.9,-307.749554290262,"test"
17,200,0.9,-263.003853236648,"train"
17,200,0.9,-307.015434105957,"test"
18,200,0.9,-262.650116379924,"train"
18,200,0.9,-307.8685494118,"test"
19,200,0.9,-262.640345962066,"train"
19,200,0.9,-306.874803200935,"test"
20,200,0.9,-262.243016335976,"train"
20,200,0.9,-307.440852163676,"test"
21,200,0.9,-262.26582267785,"train"
21,200,0.9,-307.319015219957,"test"
22,200,0.9,-262.162201797172,"train"
22,200,0.9,-307.716042787921,"test"
23,200,0.9,-262.013941231291,"train"
23,200,0.9,-308.501079119928,"test"
24,200,0.9,-262.303280860804,"train"
24,200,0.9,-307.786820979182,"test"
25,200,0.9,-262.438548731045,"train"
25,200,0.9,-307.670155454156,"test"
26,200,0.9,-262.337007700245,"train"
26,200,0.9,-307.463504347369,"test"
27,200,0.9,-262.3078582842,"train"
27,200,0.9,-307.863766273555,"test"
28,200,0.9,-262.462478139721,"train"
28,200,0.9,-307.632658162518,"test"
29,200,0.9,-262.173113849021,"train"
29,200,0.9,-306.773574152143,"test"
30,200,0.9,-261.194403397224,"train"
30,200,0.9,-307.844117778358,"test"
31,200,0.9,-261.346189020415,"train"
31,200,0.9,-308.325195910471,"test"
32,200,0.9,-261.145075367615,"train"
32,200,0.9,-308.192095730331,"test"
33,200,0.9,-261.341305917574,"train"
33,200,0.9,-308.006627072039,"test"
34,200,0.9,-261.304779036133,"train"
34,200,0.9,-308.03328212586,"test"
35,200,0.9,-260.336509659751,"train"
35,200,0.9,-308.401537138549,"test"
36,200,0.9,-260.472294096263,"train"
36,200,0.9,-307.328806585371,"test"
37,200,0.9,-260.513370084187,"train"
37,200,0.9,-307.567604497047,"test"
38,200,0.9,-259.951890999593,"train"
38,200,0.9,-306.924373832735,"test"
39,200,0.9,-260.114664427853,"train"
39,200,0.9,-306.576826228313,"test"
40,200,0.9,-260.248625022862,"train"
40,200,0.9,-306.176575219298,"test"
41,200,0.9,-260.261241997264,"train"
41,200,0.9,-306.449997212278,"test"
42,200,0.9,-259.634990367436,"train"
42,200,0.9,-306.84045409789,"test"
43,200,0.9,-259.941537801232,"train"
43,200,0.9,-306.384038872764,"test"
44,200,0.9,-260.044275512524,"train"
44,200,0.9,-306.008813477372,"test"
45,200,0.9,-260.020958670719,"train"
45,200,0.9,-306.656987942017,"test"
46,200,0.9,-259.673609266741,"train"
46,200,0.9,-306.465114483662,"test"
47,200,0.9,-259.893129324703,"train"
47,200,0.9,-306.344463365386,"test"
48,200,0.9,-259.355474082946,"train"
48,200,0.9,-305.797214704856,"test"
49,200,0.9,-259.695137506015,"train"
49,200,0.9,-305.493942976657,"test"
50,200,0.9,-259.081609826894,"train"
50,200,0.9,-304.739747507442,"test"
51,200,0.9,-259.329234855465,"train"
51,200,0.9,-304.766720420085,"test"
52,200,0.9,-259.441341833697,"train"
52,200,0.9,-305.086994523089,"test"
53,200,0.9,-259.160626524748,"train"
53,200,0.9,-305.076171999768,"test"
54,200,0.9,-259.320994549803,"train"
54,200,0.9,-304.696322362011,"test"
55,200,0.9,-259.320630420162,"train"
55,200,0.9,-304.991535831352,"test"
56,200,0.9,-259.575149725827,"train"
56,200,0.9,-304.492781605341,"test"
57,200,0.9,-259.485872580856,"train"
57,200,0.9,-304.714357928508,"test"
58,200,0.9,-259.946205053251,"train"
58,200,0.9,-304.57198115931,"test"
59,200,0.9,-259.891811827618,"train"
59,200,0.9,-304.599094258654,"test"
60,200,0.9,-259.631317995185,"train"
60,200,0.9,-304.837578075437,"test"
61,200,0.9,-259.725657270314,"train"
61,200,0.9,-304.82500544082,"test"
62,200,0.9,-259.920275527968,"train"
62,200,0.9,-304.642080855428,"test"
63,200,0.9,-259.975578897769,"train"
63,200,0.9,-304.823851893996,"test"
64,200,0.9,-259.981556372679,"train"
64,200,0.9,-304.721326101635,"test"
65,200,0.9,-260.249572822064,"train"
65,200,0.9,-304.477531886778,"test"
66,200,0.9,-260.207278934968,"train"
66,200,0.9,-304.507836099519,"test"
67,200,0.9,-260.451150344858,"train"
67,200,0.9,-304.620869550069,"test"
68,200,0.9,-260.40497468161,"train"
68,200,0.9,-304.297084485897,"test"
69,200,0.9,-260.300628120825,"train"
69,200,0.9,-303.999789522856,"test"
70,200,0.9,-260.240396047816,"train"
70,200,0.9,-304.237986147454,"test"
71,200,0.9,-260.320713013041,"train"
71,200,0.9,-304.404065402383,"test"
72,200,0.9,-260.572564217006,"train"
72,200,0.9,-304.10858845603,"test"
73,200,0.9,-260.573960058683,"train"
73,200,0.9,-304.276845476361,"test"
74,200,0.9,-260.644940565228,"train"
74,200,0.9,-304.172080318681,"test"
75,200,0.9,-260.783188072686,"train"
75,200,0.9,-304.51100489777,"test"
76,200,0.9,-260.729196077347,"train"
76,200,0.9,-304.455399490555,"test"
77,200,0.9,-260.971165587464,"train"
77,200,0.9,-304.750428139047,"test"
78,200,0.9,-261.130486239463,"train"
78,200,0.9,-304.355621258864,"test"
79,200,0.9,-261.223271553691,"train"
79,200,0.9,-304.386051114472,"test"
80,200,0.9,-261.225875702159,"train"
80,200,0.9,-304.47982880249,"test"
81,200,0.9,-261.097785592778,"train"
81,200,0.9,-304.135879997241,"test"
82,200,0.9,-261.424740630762,"train"
82,200,0.9,-304.4700865998,"test"
83,200,0.9,-261.258543401544,"train"
83,200,0.9,-304.263447814505,"test"
84,200,0.9,-261.459254759858,"train"
84,200,0.9,-304.40331044496,"test"
85,200,0.9,-261.65656449692,"train"
85,200,0.9,-304.423502846229,"test"
86,200,0.9,-261.619322367739,"train"
86,200,0.9,-304.399013706844,"test"
87,200,0.9,-261.821093518091,"train"
87,200,0.9,-304.413111604562,"test"
88,200,0.9,-261.841378349934,"train"
88,200,0.9,-304.463284181466,"test"
89,200,0.9,-261.973491204962,"train"
89,200,0.9,-304.17321589194,"test"
90,200,0.9,-262.23942637639,"train"
90,200,0.9,-304.422221084014,"test"
91,200,0.9,-262.102855479531,"train"
91,200,0.9,-304.135181271389,"test"
92,200,0.9,-262.30034014975,"train"
92,200,0.9,-304.262612996606,"test"
93,200,0.9,-262.419995887301,"train"
93,200,0.9,-304.312024989696,"test"
94,200,0.9,-262.518422174071,"train"
94,200,0.9,-304.205592436038,"test"
95,200,0.9,-262.509067541863,"train"
95,200,0.9,-304.49701068718,"test"
96,200,0.9,-262.817303440798,"train"
96,200,0.9,-304.057642089256,"test"
97,200,0.9,-262.823807018792,"train"
97,200,0.9,-304.038147223809,"test"
98,200,0.9,-262.859064371161,"train"
98,200,0.9,-304.181598164381,"test"
99,200,0.9,-263.05812772705,"train"
99,200,0.9,-304.068678855255,"test"
100,200,0.9,-263.188889136043,"train"
100,200,0.9,-304.120402213532,"test"
0,500,0,-1003.50623259982,"train"
0,500,0,-976.491352463691,"test"
1,500,0,-974.970904387319,"train"
1,500,0,-945.836083783623,"test"
2,500,0,-941.60451628757,"train"
2,500,0,-921.967494183041,"test"
3,500,0,-906.904701601249,"train"
3,500,0,-903.543349185155,"test"
4,500,0,-864.223191340005,"train"
4,500,0,-867.103040522527,"test"
5,500,0,-818.818749642823,"train"
5,500,0,-815.004768311424,"test"
6,500,0,-799.38654631403,"train"
6,500,0,-791.210475988045,"test"
7,500,0,-783.187087024947,"train"
7,500,0,-772.741448823339,"test"
8,500,0,-768.759818941837,"train"
8,500,0,-748.593755311994,"test"
9,500,0,-753.614809896246,"train"
9,500,0,-736.825066233508,"test"
10,500,0,-743.097515139415,"train"
10,500,0,-730.026550299393,"test"
11,500,0,-734.519208859,"train"
11,500,0,-709.791175933286,"test"
12,500,0,-728.417212381262,"train"
12,500,0,-705.80602046757,"test"
13,500,0,-722.862267753616,"train"
13,500,0,-704.168436079767,"test"
14,500,0,-717.519108124762,"train"
14,500,0,-698.284244552195,"test"
15,500,0,-714.290007932816,"train"
15,500,0,-698.509634751507,"test"
16,500,0,-710.850786782478,"train"
16,500,0,-697.389210633909,"test"
17,500,0,-708.075797112886,"train"
17,500,0,-696.88867092338,"test"
18,500,0,-705.81310928871,"train"
18,500,0,-695.663339596044,"test"
19,500,0,-703.200703773672,"train"
19,500,0,-695.313122690859,"test"
20,500,0,-701.21566053629,"train"
20,500,0,-696.354491554796,"test"
21,500,0,-699.737822970279,"train"
21,500,0,-698.410982194213,"test"
22,500,0,-698.12136317114,"train"
22,500,0,-698.736109716465,"test"
23,500,0,-697.077475226661,"train"
23,500,0,-700.183348902734,"test"
24,500,0,-695.631450896328,"train"
24,500,0,-704.897885791213,"test"
25,500,0,-694.659783012737,"train"
25,500,0,-706.340721245926,"test"
26,500,0,-693.70597613045,"train"
26,500,0,-707.748385208328,"test"
27,500,0,-692.570783281383,"train"
27,500,0,-707.841100724123,"test"
28,500,0,-691.326041838748,"train"
28,500,0,-707.799850278655,"test"
29,500,0,-690.68541159051,"train"
29,500,0,-707.150468322607,"test"
30,500,0,-689.946045680806,"train"
30,500,0,-707.330800158218,"test"
31,500,0,-689.088972294262,"train"
31,500,0,-707.296330346315,"test"
32,500,0,-688.170843727286,"train"
32,500,0,-710.150845316833,"test"
33,500,0,-687.849554861766,"train"
33,500,0,-710.027216558126,"test"
34,500,0,-686.94383898284,"train"
34,500,0,-711.224387363166,"test"
35,500,0,-686.484341468846,"train"
35,500,0,-712.244547420582,"test"
36,500,0,-686.203788449561,"train"
36,500,0,-713.19116237204,"test"
37,500,0,-686.039680840005,"train"
37,500,0,-711.961700170979,"test"
38,500,0,-685.745320866733,"train"
38,500,0,-712.088449258334,"test"
39,500,0,-685.500763769695,"train"
39,500,0,-713.492902031698,"test"
40,500,0,-684.799473070501,"train"
40,500,0,-714.344380822666,"test"
41,500,0,-684.498515629169,"train"
41,500,0,-714.675876217904,"test"
42,500,0,-684.257066513716,"train"
42,500,0,-715.80095256047,"test"
43,500,0,-683.761727636232,"train"
43,500,0,-716.585556836908,"test"
44,500,0,-683.630191102139,"train"
44,500,0,-716.600739611448,"test"
45,500,0,-683.105031386365,"train"
45,500,0,-717.444171621508,"test"
46,500,0,-682.770822437027,"train"
46,500,0,-717.482886906331,"test"
47,500,0,-682.506144327314,"train"
47,500,0,-717.84210428862,"test"
48,500,0,-682.387299836595,"train"
48,500,0,-717.692268896411,"test"
49,500,0,-681.909335317562,"train"
49,500,0,-717.314565271436,"test"
50,500,0,-681.867957858801,"train"
50,500,0,-718.15139673612,"test"
51,500,0,-681.965775292928,"train"
51,500,0,-717.608405229692,"test"
52,500,0,-681.76096876562,"train"
52,500,0,-717.10935163559,"test"
53,500,0,-681.821955841902,"train"
53,500,0,-716.314092985854,"test"
54,500,0,-681.894743568372,"train"
54,500,0,-715.081217462708,"test"
55,500,0,-681.724456046864,"train"
55,500,0,-715.861099034454,"test"
56,500,0,-681.694699385568,"train"
56,500,0,-716.32532535892,"test"
57,500,0,-681.686037738111,"train"
57,500,0,-715.855377265536,"test"
58,500,0,-681.600248068251,"train"
58,500,0,-715.87022047452,"test"
59,500,0,-681.616318778299,"train"
59,500,0,-716.838165004513,"test"
60,500,0,-681.71622294606,"train"
60,500,0,-717.205196546396,"test"
61,500,0,-681.878152996801,"train"
61,500,0,-717.442536551126,"test"
62,500,0,-681.990432682116,"train"
62,500,0,-716.678499802556,"test"
63,500,0,-681.999763535182,"train"
63,500,0,-716.52019720914,"test"
64,500,0,-682.148226666743,"train"
64,500,0,-716.793056663338,"test"
65,500,0,-682.20968400189,"train"
65,500,0,-717.243201190374,"test"
66,500,0,-682.325614051389,"train"
66,500,0,-717.576692498629,"test"
67,500,0,-682.154890688868,"train"
67,500,0,-717.617699332594,"test"
68,500,0,-682.293851536468,"train"
68,500,0,-718.449508324951,"test"
69,500,0,-682.342218963863,"train"
69,500,0,-718.599161862283,"test"
70,500,0,-682.475608403984,"train"
70,500,0,-719.401295739544,"test"
71,500,0,-682.463824496423,"train"
71,500,0,-718.888969874758,"test"
72,500,0,-682.366881941081,"train"
72,500,0,-718.830637304073,"test"
73,500,0,-682.674683725263,"train"
73,500,0,-718.623753789607,"test"
74,500,0,-682.921734934426,"train"
74,500,0,-718.035445685467,"test"
75,500,0,-683.092879541339,"train"
75,500,0,-718.524240557705,"test"
76,500,0,-683.159561304675,"train"
76,500,0,-718.414671812954,"test"
77,500,0,-683.336893522107,"train"
77,500,0,-718.521025570696,"test"
78,500,0,-683.498758241368,"train"
78,500,0,-718.170054578872,"test"
79,500,0,-683.684894365064,"train"
79,500,0,-718.2148947779,"test"
80,500,0,-684.053239067659,"train"
80,500,0,-718.173706051621,"test"
81,500,0,-684.058102718463,"train"
81,500,0,-718.132506028623,"test"
82,500,0,-684.168508510328,"train"
82,500,0,-718.109256427893,"test"
83,500,0,-684.398419833597,"train"
83,500,0,-718.135357696265,"test"
84,500,0,-684.767695204816,"train"
84,500,0,-718.068469166479,"test"
85,500,0,-684.930074135744,"train"
85,500,0,-718.307808493948,"test"
86,500,0,-685.188811448563,"train"
86,500,0,-717.896905798673,"test"
87,500,0,-685.414491691663,"train"
87,500,0,-717.788372773404,"test"
88,500,0,-685.542957268887,"train"
88,500,0,-717.834343469375,"test"
89,500,0,-686.030135354114,"train"
89,500,0,-717.461499174759,"test"
90,500,0,-686.115698396774,"train"
90,500,0,-717.632019619635,"test"
91,500,0,-686.179383157574,"train"
91,500,0,-717.786280929584,"test"
92,500,0,-686.526445946898,"train"
92,500,0,-717.764698269762,"test"
93,500,0,-686.723562535289,"train"
93,500,0,-717.34389536041,"test"
94,500,0,-686.843724699281,"train"
94,500,0,-717.683517433807,"test"
95,500,0,-687.104633390741,"train"
95,500,0,-717.666169271696,"test"
96,500,0,-687.199483188875,"train"
96,500,0,-717.443320914906,"test"
97,500,0,-687.681636893119,"train"
97,500,0,-717.54143894651,"test"
98,500,0,-687.556472662603,"train"
98,500,0,-717.71218896796,"test"
99,500,0,-687.872783622507,"train"
99,500,0,-717.842156195172,"test"
100,500,0,-687.954030743895,"train"
100,500,0,-717.313313861632,"test"
0,500,0.5,-1012.42164788163,"train"
0,500,0.5,-1006.37364892004,"test"
1,500,0.5,-895.711651979504,"train"
1,500,0.5,-913.869779043789,"test"
2,500,0.5,-847.797623080653,"train"
2,500,0.5,-861.53579302624,"test"
3,500,0.5,-801.258111035278,"train"
3,500,0.5,-809.986868630373,"test"
4,500,0.5,-774.263205113358,"train"
4,500,0.5,-784.906901910061,"test"
5,500,0.5,-759.180153659028,"train"
5,500,0.5,-771.910340825741,"test"
6,500,0.5,-744.100404447457,"train"
6,500,0.5,-748.785664873492,"test"
7,500,0.5,-732.120628307606,"train"
7,500,0.5,-740.020811059466,"test"
8,500,0.5,-724.423976007406,"train"
8,500,0.5,-731.222442163983,"test"
9,500,0.5,-717.916972862816,"train"
9,500,0.5,-716.835438079448,"test"
10,500,0.5,-712.880372709938,"train"
10,500,0.5,-710.672283552874,"test"
11,500,0.5,-708.999794014079,"train"
11,500,0.5,-717.163245800371,"test"
12,500,0.5,-705.845205821693,"train"
12,500,0.5,-717.60376030034,"test"
13,500,0.5,-703.370124947519,"train"
13,500,0.5,-713.068384156893,"test"
14,500,0.5,-701.80853828836,"train"
14,500,0.5,-711.973443507971,"test"
15,500,0.5,-700.174842258975,"train"
15,500,0.5,-713.638315660561,"test"
16,500,0.5,-699.123436383052,"train"
16,500,0.5,-715.17563672634,"test"
17,500,0.5,-697.803975206499,"train"
17,500,0.5,-718.176114753545,"test"
18,500,0.5,-695.884069044439,"train"
18,500,0.5,-719.183967523734,"test"
19,500,0.5,-694.617363464861,"train"
19,500,0.5,-720.056120471884,"test"
20,500,0.5,-694.038292693041,"train"
20,500,0.5,-720.980503528282,"test"
