"size","n","rho","elpd","data"
23,100,0.5,-127.085703175733,"train"
23,100,0.5,-162.22458461719,"test"
24,100,0.5,-126.448638252897,"train"
24,100,0.5,-160.308923282553,"test"
25,100,0.5,-126.438134977056,"train"
25,100,0.5,-158.196406268535,"test"
26,100,0.5,-126.479283009538,"train"
26,100,0.5,-158.628800071093,"test"
27,100,0.5,-126.20243202966,"train"
27,100,0.5,-158.508091336559,"test"
28,100,0.5,-126.253392879412,"train"
28,100,0.5,-157.276937535263,"test"
29,100,0.5,-126.495610596992,"train"
29,100,0.5,-157.161487842336,"test"
30,100,0.5,-126.907356523014,"train"
30,100,0.5,-155.821754403826,"test"
31,100,0.5,-126.740691914059,"train"
31,100,0.5,-156.523051694391,"test"
32,100,0.5,-126.464803082146,"train"
32,100,0.5,-157.078588162136,"test"
33,100,0.5,-125.438584680682,"train"
33,100,0.5,-158.41851185315,"test"
34,100,0.5,-125.088495209961,"train"
34,100,0.5,-158.498272301521,"test"
35,100,0.5,-125.23120968291,"train"
35,100,0.5,-158.118463829295,"test"
36,100,0.5,-124.626212515032,"train"
36,100,0.5,-158.775094028582,"test"
37,100,0.5,-123.942940912705,"train"
37,100,0.5,-159.283099658569,"test"
38,100,0.5,-123.745274477375,"train"
38,100,0.5,-158.824161884498,"test"
39,100,0.5,-123.455962674419,"train"
39,100,0.5,-158.29426921475,"test"
40,100,0.5,-123.564793079294,"train"
40,100,0.5,-158.859517919809,"test"
41,100,0.5,-123.47761318753,"train"
41,100,0.5,-158.576465424606,"test"
42,100,0.5,-122.923999877239,"train"
42,100,0.5,-159.168098636537,"test"
43,100,0.5,-123.175223466844,"train"
43,100,0.5,-159.670300777188,"test"
44,100,0.5,-123.569494464515,"train"
44,100,0.5,-159.449526862652,"test"
45,100,0.5,-123.485518348206,"train"
45,100,0.5,-160.06227949465,"test"
46,100,0.5,-123.809738179067,"train"
46,100,0.5,-159.996700192161,"test"
47,100,0.5,-123.390472007488,"train"
47,100,0.5,-160.450921308436,"test"
48,100,0.5,-123.520033459672,"train"
48,100,0.5,-160.165584958762,"test"
49,100,0.5,-123.952576480267,"train"
49,100,0.5,-160.00007129951,"test"
50,100,0.5,-124.138010335575,"train"
50,100,0.5,-160.535151173322,"test"
51,100,0.5,-124.155327890439,"train"
51,100,0.5,-160.382020110326,"test"
52,100,0.5,-124.478528687047,"train"
52,100,0.5,-160.330925253743,"test"
53,100,0.5,-124.46375447103,"train"
53,100,0.5,-160.575036836102,"test"
54,100,0.5,-124.399104366229,"train"
54,100,0.5,-161.146582504624,"test"
55,100,0.5,-124.764629892576,"train"
55,100,0.5,-160.562356986649,"test"
56,100,0.5,-125.071225019523,"train"
56,100,0.5,-161.101892451147,"test"
57,100,0.5,-125.340876559456,"train"
57,100,0.5,-160.999912906352,"test"
58,100,0.5,-125.29514459618,"train"
58,100,0.5,-160.709143766196,"test"
59,100,0.5,-126.008669078749,"train"
